00181290,20200120012000,LAT  145728,LON  1210974,ALT  0017,RSS -069,OIC 138,OIV 502,OOC 178,OOV 119,ORV 301,OPT  343,MOD 00,PBV 0,SPA 1,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011900,LAT  145728,LON  1210974,ALT  0018,RSS -069,OIC 137,OIV 503,OOC 178,OOV 120,ORV 300,OPT  343,MOD 00,PBV 0,SPA 1,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011800,LAT  145728,LON  1210974,ALT  0018,RSS -069,OIC 137,OIV 503,OOC 179,OOV 118,ORV 298,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011700,LAT  145729,LON  1210974,ALT  0018,RSS -069,OIC 138,OIV 501,OOC 179,OOV 119,ORV 299,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011600,LAT  145729,LON  1210974,ALT  0019,RSS -071,OIC 137,OIV 502,OOC 179,OOV 119,ORV 299,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011500,LAT  145729,LON  1210974,ALT  0019,RSS -069,OIC 138,OIV 502,OOC 179,OOV 118,ORV 298,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011400,LAT  145729,LON  1210974,ALT  0018,RSS -069,OIC 138,OIV 502,OOC 180,OOV 118,ORV 301,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011300,LAT  145729,LON  1210974,ALT  0017,RSS -071,OIC 136,OIV 502,OOC 180,OOV 118,ORV 301,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011200,LAT  145728,LON  1210974,ALT  0019,RSS -071,OIC 136,OIV 499,OOC 180,OOV 118,ORV 299,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011100,LAT  145728,LON  1210974,ALT  0018,RSS -071,OIC 137,OIV 507,OOC 180,OOV 118,ORV 299,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120011000,LAT  145729,LON  1210974,ALT  0017,RSS -069,OIC 138,OIV 501,OOC 180,OOV 118,ORV 299,OPT  342,MOD 00,PBV 0,SPA 1,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010900,LAT  145729,LON  1210974,ALT  0016,RSS -071,OIC 138,OIV 504,OOC 180,OOV 118,ORV 300,OPT  341,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010800,LAT  145729,LON  1210974,ALT  0015,RSS -071,OIC 138,OIV 504,OOC 180,OOV 118,ORV 299,OPT  341,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010700,LAT  145729,LON  1210974,ALT  0013,RSS -071,OIC 138,OIV 499,OOC 180,OOV 118,ORV 300,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010600,LAT  145729,LON  1210974,ALT  0013,RSS -071,OIC 138,OIV 505,OOC 180,OOV 119,ORV 300,OPT  342,MOD 00,PBV 0,SPA 1,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010500,LAT  145729,LON  1210974,ALT  0013,RSS -071,OIC 137,OIV 501,OOC 180,OOV 118,ORV 299,OPT  341,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010400,LAT  145729,LON  1210974,ALT  0017,RSS -071,OIC 138,OIV 502,OOC 180,OOV 118,ORV 301,OPT  342,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010300,LAT  145729,LON  1210974,ALT  0020,RSS -069,OIC 138,OIV 502,OOC 180,OOV 118,ORV 299,OPT  341,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010200,LAT  145728,LON  1210974,ALT  0021,RSS -071,OIC 137,OIV 503,OOC 180,OOV 118,ORV 300,OPT  341,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010100,LAT  145729,LON  1210974,ALT  0021,RSS -071,OIC 137,OIV 502,OOC 180,OOV 118,ORV 299,OPT  341,MOD 00,PBV 0,SPA 1,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
00181290,20200120010000,LAT  145729,LON  1210974,ALT  0020,RSS -069,OIC 138,OIV 503,OOC 180,OOV 118,ORV 299,OPT  340,MOD 00,PBV 0,SPA 0,GPC 12,DOP 06,CID 8963031815104108373,PSN 00050562,HK1 0000000000000000,RAV 2.00,RPV 1.05
