00174723,20200202002100,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  252,RH1 0669,PRS 10192,SLP 10201,WD1 020,WDM 020,WS1 011,WSM 015,WND 016,WNS 009,SOL 0132,WET 0,WBG  250,WEA 2
00174723,20200202002200,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  251,RH1 0669,PRS 10192,SLP 10201,WD1 013,WDM 013,WS1 011,WSM 017,WND 015,WNS 009,SOL 0132,WET 0,WBG  249,WEA 2
00174723,20200202002300,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  249,RH1 0667,PRS 10193,SLP 10202,WD1 016,WDM 013,WS1 010,WSM 016,WND 016,WNS 009,SOL 0130,WET 0,WBG  246,WEA 2
00174723,20200202002400,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  248,RH1 0666,PRS 10193,SLP 10202,WD1 013,WDM 005,WS1 005,WSM 008,WND 016,WNS 009,SOL 0128,WET 0,WBG  245,WEA 2
00174723,20200202002500,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  249,RH1 0664,PRS 10193,SLP 10202,WD1 017,WDM*357,WS1 003,WSM 006,WND 016,WNS 008,SOL 0127,WET 0,WBG  246,WEA 2
00174723,20200202002600,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  249,RH1 0664,PRS 10193,SLP 10202,WD1 025,WDM*016,WS1 010,WSM 019,WND 017,WNS 008,SOL 0126,WET 0,WBG  246,WEA 2
00174723,20200202002700,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  248,RH1 0662,PRS 10193,SLP 10202,WD1 002,WDM 003,WS1 006,WSM 014,WND 016,WNS 008,SOL 0125,WET 0,WBG  244,WEA 2
00174723,20200202002800,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  248,RH1 0664,PRS 10193,SLP 10202,WD1 350,WDM*234,WS1 003,WSM 007,WND 016,WNS 007,SOL 0126,WET 0,WBG  245,WEA 2
00174723,20200202002900,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  249,RH1 0663,PRS 10193,SLP 10202,WD1 021,WDM*006,WS1 004,WSM 010,WND 016,WNS 007,SOL 0129,WET 0,WBG  246,WEA 2
00174723,20200202003000,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  249,RH1 0658,PRS 10193,SLP 10202,WD1 016,WDM 019,WS1 006,WSM 010,WND 016,WNS 007,SOL 0133,WET 0,WBG  245,WEA 2
00174723,20200202003100,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  250,RH1 0660,PRS 10193,SLP 10202,WD1 019,WDM 021,WS1 007,WSM 009,WND 016,WNS 007,SOL 0136,WET 0,WBG  246,WEA 2
00174723,20200202003200,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  251,RH1 0661,PRS 10193,SLP 10202,WD1 032,WDM 029,WS1 003,WSM 005,WND 017,WNS 006,SOL 0143,WET 0,WBG  248,WEA 2
00174723,20200202003300,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  252,RH1 0666,PRS 10193,SLP 10202,WD1 022,WDM 042,WS1 004,WSM 009,WND 018,WNS 005,SOL 0146,WET 0,WBG  249,WEA 2
00174723,20200202003400,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  252,RH1 0664,PRS 10193,SLP 10202,WD1 016,WDM 003,WS1 007,WSM 010,WND 018,WNS 005,SOL 0147,WET 0,WBG  249,WEA 2
00174723,20200202003500,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  251,RH1 0659,PRS 10193,SLP 10202,WD1 021,WDM 016,WS1 011,WSM 016,WND 018,WNS 006,SOL 0148,WET 0,WBG  247,WEA 2
00174723,20200202003600,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  251,RH1 0670,PRS 10194,SLP 10203,WD1 016,WDM 021,WS1 008,WSM 014,WND 017,WNS 006,SOL 0147,WET 0,WBG  249,WEA 2
00174723,20200202003700,RAF 000,RA1 0000,RI1 0000,ERA 00000,CRA 00000,AT1  252,RH1 0672,PRS 10194,SLP 10203,WD1 016,WDM 019,WS1 007,WSM 010,WND 018,WNS 006,SOL 0139,WET 0,WBG  250,WEA 2
